country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,464000,464000,439000,488000,423000,620000,312000,241000,192000,174000,206000,246000,226000,219000,275000,205000,309000,376000,526000,495000,771000,712000,968000,1020000,1130000
Lao,55900,42000,43000,44500,45000,45000,45000,30000,12000,13000,13000,14500,14700,14000,15700,15800,24500,45000,47500,49600,115000,115000,119000,119000,119000,125000,125000,125000,124000,197000,211000,211000,220000,219000,272000,293000,327000,328000,323000,303000,444000,533000,878000,1480000,1310000,1180000,1220000,1200000
Latvia,,,,,,,,,,,,,,,,,,,,,,,65700,111000,167000,173000,276000,229000,229000,196000,278000,255000,265000,340000,594000,1030000,1410000,1340000,1370000,1300000,3160000,3300000,2890000,2750000,2640000,2530000,2840000,3440000
Lebanon,549000,648000,744000,819000,1040000,900000,1050000,929000,863000,904000,930000,844000,571000,696000,411000,501000,499000,353000,493000,183000,572000,536000,600000,677000,706000,770000,775000,857000,716000,719000,806000,816000,874000,935000,1090000,1080000,969000,1070000,1070000,1310000,1890000,2030000,2150000,2240000,2420000,2590000,2650000,2870000
Lesotho,,,,,10000,10000,11000,11000,40000,52000,36300,36600,54800,61000,48700,50700,55300,60900,63000,53300,56000,56000,26100,20500,26600,24800,17100,10500,28200,1300,,,,,,,,,,,,,,,,,,
Liberia,,,,,25000,25500,26000,27000,29000,9400,10600,30400,40900,44000,50000,42000,42000,44000,45700,46300,33700,32000,32000,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,190000,259000,327000,352000,408000,558000,670000,802000,891000,914000,1170000,1490000,1560000,1860000,1580000,1580000,1380000,1520000,1580000,1620000,1800000,1880000,1350000,853000,641000,623000,639000,571000,571000,586000,601000,583000,559000,627000,850000,0,1150000,1200000,1210000,1150000,2930000,2280000,1400000,2740000,2390000,1430000,1280000,1190000
Lithuania,,,,,,,,,,,,,,,,,,,,,,,557000,150000,195000,210000,214000,237000,259000,250000,284000,304000,304000,329000,448000,505000,430000,424000,610000,617000,81500,69400,593000,1010000,1270000,1360000,1050000,1070000
Luxembourg,167000,250000,211000,218000,221000,230000,250000,260000,290000,300000,162000,163000,204000,224000,243000,239000,248000,273000,294000,296000,409000,406000,461000,471000,533000,570000,639000,560000,701000,843000,871000,886000,823000,854000,856000,851000,928000,1040000,1060000,681000,787000,785000,781000,1560000,1710000,1830000,1850000,1900000
Madagascar,168000,198000,201000,218000,231000,203000,262000,292000,336000,408000,448000,445000,410000,347000,360000,351000,356000,411000,387000,342000,424000,314000,344000,419000,451000,497000,542000,575000,601000,640000,629000,658000,266000,452000,514000,575000,573000,616000,559000,500000,524000,544000,588000,539000,520000,459000,442000,486000
Malawi,51700,66100,74700,90400,98300,122000,93700,100000,106000,112000,94000,108000,130000,96900,127000,140000,140000,114000,116000,121000,120000,120000,121000,132000,142000,149000,153000,158000,158000,112000,116000,113000,105000,109000,122000,132000,146000,155000,160000,157000,91500,82700,53500,5860,5860,6010,6740,10500
Malaysia,749000,875000,1020000,1860000,2330000,2500000,2670000,2860000,3100000,3490000,4520000,5350000,5240000,5360000,5690000,5690000,6310000,7400000,7680000,8690000,10200000,11800000,12800000,13100000,14200000,15400000,15100000,15600000,13700000,15000000,16600000,16100000,16300000,16700000,19200000,20400000,17800000,21300000,22400000,23800000,34200000,38200000,39200000,48000000,49700000,50300000,53800000,58200000
Maldives,,,,,,7000,10000,13000,20000,25000,27000,33800,34000,38000,40000,60000,65000,8400,8400,8400,9400,9400,9400,9400,38500,159000,207000,189000,247000,261000,315000,56200,57900,60200,75900,81900,93400,92500,91100,85400,,,,,1020000,1310000,1410000,1490000
Mali,39200,39000,44000,46900,49800,50500,59400,61400,57000,66000,71000,71000,79000,77000,70000,61000,69000,4000,,,,,66300,68200,69200,74100,75100,85500,90500,83900,77300,46400,,,,,,,,,304000,364000,182000,33400,0,,,
Malta,128000,111000,102000,141000,153000,205000,221000,255000,352000,382000,402000,398000,402000,366000,364000,384000,411000,429000,481000,507000,598000,649000,693000,797000,1000000,1070000,1040000,1050000,1160000,1420000,1360000,1340000,1400000,1310000,1370000,1370000,1500000,1670000,1710000,1990000,1700000,1670000,1540000,1600000,1590000,1580000,1500000,1580000
Marshall Islands,,,,,,,,,,,,,,,,,,32000,33800,36300,66400,66300,96000,43500,41900,45800,41300,33100,32000,33100,16100,18800,24600,27500,29000,25800,30200,30000,29500,27700,,,,,,,,47500
Mauritania,84500,68400,65900,72700,78300,84500,94400,105000,117000,124000,141000,144000,147000,149000,202000,214000,233000,216000,216000,220000,223000,213000,213000,215000,216000,228000,235000,245000,250000,187000,185000,156000,106000,116000,128000,139000,149000,155000,154000,142000,525000,381000,325000,262000,271000,248000,280000,419000
Mauritius,23000,24200,25200,24000,28000,30000,33000,30100,55000,82300,83700,102000,106000,123000,155000,183000,200000,285000,384000,424000,520000,525000,578000,582000,636000,676000,717000,804000,848000,823000,949000,1000000,1030000,1040000,1090000,1150000,1060000,1280000,1260000,1090000,1270000,1320000,1310000,1320000,1350000,1470000,1590000,1670000
Mexico,2970000,3110000,3960000,4590000,5500000,6520000,7680000,8240000,9390000,11400000,12900000,13900000,12800000,13900000,14400000,15400000,13800000,13500000,11400000,12700000,14300000,14900000,15500000,16500000,18800000,15000000,14700000,17300000,17700000,20600000,20900000,20200000,19600000,20700000,21200000,21900000,21200000,21000000,18800000,15700000,31300000,29500000,32900000,36000000,39600000,47000000,53300000,58500000
Moldova,,,,,,,,,,,,,,,,,,,,,,,571000,312000,312000,170000,190000,46400,118000,43000,118000,120000,129000,179000,201000,232000,274000,314000,401000,402000,479000,541000,544000,558000,692000,1010000,936000,1090000
Monaco,,,,,,,,,,,44000,44000,44000,44000,73200,73800,37500,40000,40000,42500,42500,42500,44000,44000,44000,44000,44000,44000,43800,75200,82800,77800,104000,94600,83900,87500,95700,102000,84700,63900,59700,63200,65400,64500,64200,60400,12100,316
Mongolia,,,,,,,,,,,,,,,,,,,,,,616000,591000,630000,630000,662000,662000,240000,240000,225000,254000,255000,270000,295000,310000,295000,348000,381000,364000,257000,391000,497000,626000,586000,683000,529000,538000,603000
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122000,,287000,337000,383000,,,,,659000,523000,545000,529000,503000,527000,545000,508000
Morocco,290000,362000,410000,487000,510000,673000,809000,1050000,1130000,1150000,947000,930000,974000,932000,1000000,1110000,1100000,1190000,1270000,1360000,1580000,1430000,2170000,2140000,2180000,2150000,2300000,2640000,3010000,3390000,3670000,3680000,3050000,2640000,3000000,3490000,4110000,4620000,4930000,4930000,7140000,7500000,6560000,6510000,6980000,7040000,7740000,8440000
Mozambique,,,,,,120000,249000,225000,266000,273000,282000,292000,391000,405000,325000,208000,226000,211000,235000,243000,280000,283000,225000,206000,221000,168000,163000,188000,201000,235000,260000,264000,282000,281000,294000,347000,350000,443000,461000,490000,558000,577000,560000,701000,740000,676000,633000,570000
Myanmar,346000,381000,393000,405000,388000,391000,396000,410000,425000,460000,481000,500000,515000,517000,487000,509000,511000,512000,516000,308000,319000,319000,319000,319000,319000,335000,335000,335000,333000,537000,438000,398000,1190000,1120000,1390000,1500000,1620000,1660000,1640000,1530000,924000,1540000,1660000,1570000,1930000,2100000,2740000,2850000
Namibia,,,,,,,,,,,,,,,,,,,,,,455000,163000,179000,199000,225000,237000,215000,214000,214000,247000,215000,222000,266000,283000,399000,401000,431000,452000,455000,486000,541000,632000,510000,522000,553000,559000,623000
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210000,30200,34900,19300,16500,34600,38900,47300,45500
Nepal,203000,218000,232000,250000,263000,220000,248000,255000,270000,417000,380000,365000,400000,364000,396000,422000,436000,409000,988000,679000,679000,634000,649000,633000,683000,717000,755000,755000,754000,583000,643000,641000,353000,356000,445000,480000,510000,528000,520000,484000,918000,901000,777000,643000,518000,510000,634000,780000
Netherlands,2880000,3010000,3280000,3680000,3630000,3830000,4080000,4450000,4720000,4920000,4980000,5060000,5200000,5280000,5650000,6030000,6380000,7400000,7860000,8250000,8560000,8890000,10100000,11800000,12900000,16400000,17100000,17900000,18700000,19700000,20900000,20100000,22900000,23500000,25600000,26100000,27500000,28900000,29600000,29100000,27000000,30000000,31700000,33500000,34000000,35700000,40100000,42800000
New Zealand,1860000,1920000,2080000,2540000,2960000,3050000,3020000,3200000,3400000,3810000,3500000,3320000,3070000,3220000,3760000,4160000,4530000,4810000,5090000,5720000,5870000,5370000,5780000,6290000,7720000,7680000,9600000,9440000,8650000,9570000,10800000,11500000,11300000,12300000,11300000,12000000,12400000,12500000,13000000,12100000,13300000,13700000,13900000,14400000,13600000,14400000,15300000,16300000
Nicaragua,107000,138000,144000,77500,81000,85000,89000,110000,110000,145000,115000,97000,100000,95000,85000,90000,80900,85000,86500,110000,130000,130000,159000,34000,43800,48200,51300,51300,51100,58700,61000,,,,,,,,,,,,,,,,,
Niger,54700,56700,52900,57600,63500,69000,75400,83400,94200,99300,111000,114000,116000,118000,118000,73500,120000,112000,111000,74000,76300,66300,66300,68200,69200,74100,75100,85500,90500,83900,77300,46400,,,,,,,,,0,0,120000,87900,13200,15200,15000,14700
Nigeria,173000,227000,287000,314000,430000,590000,801000,1090000,1440000,1580000,1940000,2300000,2140000,2220000,1950000,2580000,2130000,1610000,995000,849000,965000,930000,647000,608000,665000,548000,221000,318000,313000,420000,507000,519000,520000,520000,540000,748000,1310000,1360000,1460000,1370000,4200000,4790000,4720000,4210000,4460000,4610000,4110000,3450000
North Korea,165000,166000,,,,,,165000,166000,184000,192000,184000,185000,196000,198000,202000,200000,205000,218000,220000,223000,223000,235000,242000,242000,254000,254000,280000,64000,76700,83000,78800,84300,75000,93800,101000,105000,111000,109000,101000,73100,78600,100000,371000,90300,87100,94900,104000
Norway,2410000,2790000,3100000,3340000,3370000,3530000,3850000,4190000,4490000,4870000,4800000,4980000,5210000,5610000,6110000,6800000,7490000,8150000,8260000,8300000,8930000,8860000,9660000,10400000,11100000,11700000,12700000,13800000,14300000,15000000,15200000,14600000,13700000,12800000,12300000,,,,,,,,,,,,,
Oman,,,,,128000,173000,240000,300000,375000,457000,522000,578000,570000,602000,674000,718000,647000,699000,776000,835000,853000,958000,1080000,1180000,1510000,1450000,1620000,1680000,1850000,1930000,2120000,1980000,2100000,2780000,3270000,,,,,2360000,3260000,3800000,4430000,4990000,5050000,6370000,7710000,9070000
Pakistan,1340000,1090000,625000,805000,1050000,1450000,1950000,2300000,2660000,2770000,3030000,3100000,3330000,3470000,3640000,3840000,4130000,4430000,4890000,5010000,5180000,5200000,5680000,5650000,5660000,5340000,5380000,5880000,5410000,5850000,5290000,6010000,4140000,4520000,5100000,5360000,5710000,5440000,5610000,5300000,6590000,7940000,7970000,7830000,7670000,8470000,9630000,9920000
Panama,307000,337000,316000,218000,276000,357000,374000,347000,366000,381000,355000,309000,332000,323000,372000,390000,364000,371000,382000,373000,266000,343000,283000,321000,520000,661000,689000,772000,860000,933000,1120000,1110000,1050000,1420000,1500000,1800000,2030000,2470000,2760000,6350000,5520000,6380000,7520000,11700000,11800000,12200000,13300000,13700000
Papua New Guinea,,,,,,355000,405000,440000,532000,572000,559000,554000,560000,534000,711000,701000,807000,798000,887000,963000,931000,911000,954000,866000,1110000,970000,970000,1110000,1110000,1060000,1100000,1190000,1230000,691000,763000,819000,919000,919000,905000,847000,1410000,1560000,1630000,1870000,2070000,1680000,1710000,1860000
Paraguay,80600,84300,53700,59600,61000,64500,66500,105000,112000,119000,129000,127000,167000,164000,179000,212000,184000,205000,249000,272000,273000,309000,314000,338000,324000,105000,261000,196000,222000,232000,266000,281000,267000,299000,373000,446000,433000,459000,466000,428000,715000,845000,794000,712000,609000,452000,468000,457000
Peru,391000,264000,525000,590000,1120000,1340000,1440000,1430000,1450000,1690000,1980000,1780000,1740000,1700000,1620000,1560000,2150000,3010000,2740000,1850000,1820000,1490000,1220000,1360000,1890000,2510000,2330000,2720000,2770000,1900000,1600000,2250000,2090000,2230000,3230000,4330000,4220000,5270000,6180000,5840000,7110000,8610000,10100000,12300000,12300000,13900000,15100000,15700000
Philippines,2370000,2070000,2120000,2350000,2530000,2760000,2820000,3020000,3410000,3470000,3250000,3540000,3870000,4320000,4390000,4610000,4880000,5250000,5720000,5720000,5640000,5440000,6140000,6530000,6850000,7180000,7260000,7470000,6730000,5020000,5760000,6420000,6450000,6460000,7390000,8060000,8300000,8820000,9510000,10500000,22600000,26300000,28500000,25500000,34900000,37000000,40200000,44100000
Poland,904000,1030000,1270000,1490000,1090000,1450000,1470000,1640000,1700000,1850000,1710000,1590000,756000,1290000,1600000,1590000,1570000,1570000,1600000,1910000,1500000,1050000,1100000,1270000,1450000,1660000,1810000,2000000,2210000,2140000,2340000,2670000,2850000,3250000,3490000,3550000,3630000,4270000,4630000,4280000,4100000,4450000,4910000,5000000,5040000,4450000,5500000,7380000
Portugal,1420000,1660000,1950000,2250000,2250000,1680000,1650000,1830000,2010000,2260000,1980000,2170000,2270000,2220000,2310000,2320000,2420000,2790000,3030000,3190000,3500000,3570000,4110000,4380000,4360000,4590000,4810000,6280000,7020000,7340000,6720000,6650000,6800000,7590000,9050000,10100000,9440000,10300000,11200000,9900000,10400000,11000000,11300000,11900000,12600000,12700000,13100000,15900000
Qatar,,,,,128000,173000,240000,300000,375000,457000,522000,578000,570000,602000,674000,718000,647000,622000,698000,753000,771000,876000,981000,1080000,1150000,1070000,1200000,1160000,1210000,2330000,2670000,2780000,3570000,3180000,4450000,6040000,7070000,8880000,9700000,10200000,12400000,14600000,17200000,18700000,21400000,25300000,31200000,29900000
Romania,453000,429000,489000,612000,674000,613000,913000,1080000,1080000,1120000,1110000,1080000,919000,999000,1160000,1220000,1240000,1280000,1320000,1270000,1320000,1150000,919000,979000,1240000,1240000,913000,995000,908000,980000,1220000,1140000,959000,1260000,1340000,1710000,2050000,3000000,3250000,3270000,3730000,3660000,3590000,3090000,3070000,3630000,3690000,4430000
Russia,,,,,,,,,,,,,,,,,,,,,,129000000,62200000,36100000,28900000,26500000,22100000,20400000,15200000,18600000,17700000,20300000,20900000,22700000,25900000,26500000,28800000,33200000,37900000,34400000,43900000,50600000,58700000,64100000,72200000,76800000,77500000,89400000
Rwanda,,,,,,,,,,,,9700,25900,4400,4600,4800,4300,8900,11900,10100,8400,10100,9100,9100,9100,,,,,,,,,,,,,,,,188000,268000,593000,611000,627000,545000,645000,740000
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,270000,74900,149000,156000,164000,173000,182000,198000,247000,267000,288000,295000,291000,271000,,,,,76900,99000,116000,135000
Sao Tome and Principe,,,,,,,,,,,,,,,,9500,9000,22000,22000,22300,22300,22300,22300,22300,22300,22300,23000,24600,24500,33500,35100,35100,34500,35700,40100,43300,47600,50400,51900,50700,,,,,,,,
Saudi Arabia,558000,514000,762000,968000,1280000,1840000,3270000,4710000,6270000,7690000,9240000,9150000,10200000,10700000,11400000,10800000,9930000,10300000,9880000,9990000,10300000,9410000,11200000,11900000,12100000,11500000,11700000,11700000,11800000,12300000,12600000,12800000,13600000,13800000,14900000,15900000,16800000,17100000,16700000,17500000,20300000,23100000,26500000,28300000,32300000,33400000,35100000,37500000
Senegal,85100,89400,88900,94600,103000,110000,120000,128000,137000,142000,113000,116000,118000,125000,126000,132000,144000,136000,135000,140000,148000,138000,138000,140000,141000,150000,155000,166000,121000,103000,97500,176000,231000,130000,416000,450000,501000,539000,567000,573000,0,391000,544000,220000,132000,115000,9870,21000
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995000,1190000,1010000,1080000,919000,1040000,1120000,1140000,927000,985000,1150000,1240000,1240000,2190000,2430000,2490000,2440000
Seychelles,,,,,,,12000,12000,12000,12000,15000,15000,65100,65100,113000,185000,195000,223000,228000,179000,242000,243000,240000,289000,297000,314000,373000,384000,369000,347000,394000,420000,518000,413000,462000,499000,545000,575000,586000,565000,413000,394000,236000,344000,407000,497000,568000,634000
Sierra Leone,,,,,,23000,26000,27300,28500,28500,30000,30200,34000,26400,56000,58000,59000,28900,43600,29600,30000,,16500,17500,14500,14500,15200,0,0,,19000,13900,13900,13600,15500,16700,18800,20300,21400,21800,0,48800,50200,,,,,
Singapore,749000,875000,976000,1250000,1510000,1810000,2130000,2500000,2890000,3380000,3830000,4410000,4590000,4530000,4790000,4910000,4990000,5250000,6050000,6660000,7050000,7750000,8480000,9270000,9930000,10800000,11800000,13000000,13300000,15300000,16700000,16400000,17300000,14200000,17000000,17700000,19600000,20700000,21100000,18400000,24900000,26500000,29100000,31700000,33600000,33600000,35400000,37700000
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,18300,22500,41100,62600,80700,107000,111000,57100,43100,82800,190000,636000,712000,780000,2680000,2690000,3440000,74900,34900,45100,64000,29000,11100,12900,7930
Slovenia,,,,,,,,,,,,,,,,,,,,,,,188000,291000,340000,371000,393000,404000,460000,556000,628000,690000,721000,758000,765000,758000,861000,945000,1100000,953000,980000,973000,817000,857000,917000,1050000,1010000,1090000
Solomon Islands,,,,,,,,,,,42400,46200,51100,54600,63700,66000,64900,67500,68500,69300,69400,69400,69400,74600,78500,89500,94300,94300,94000,97700,75300,81400,84500,68100,84700,91500,101000,102000,101000,94000,143000,140000,138000,302000,330000,374000,373000,428000
Somalia,25700,29800,31400,33000,35000,35000,38000,34000,36000,36500,90000,116000,99300,117000,130000,99800,122000,128000,105000,89200,87600,46100,,,,,,,,,,,,,,,,,,,164000,177000,179000,258000,252000,,4490,4490
South Africa,1520000,1660000,1870000,2310000,2760000,2940000,3000000,3080000,3210000,3780000,4120000,4160000,4090000,3950000,4460000,4340000,3830000,4390000,5130000,5640000,5360000,4820000,4690000,5580000,5800000,6400000,7180000,7270000,6480000,7400000,8000000,7950000,8050000,9160000,9880000,11800000,12900000,12900000,13100000,12500000,15800000,16400000,17600000,16300000,17000000,18900000,19700000,20800000
South Korea,1210000,1460000,1640000,2210000,1920000,2050000,2080000,2470000,3100000,3730000,3570000,4190000,4200000,4860000,5350000,6200000,7210000,8330000,9830000,13200000,15700000,16900000,19800000,21400000,24900000,29300000,33000000,35500000,27100000,30900000,34300000,33700000,34800000,33400000,34500000,33900000,34800000,36700000,36100000,34200000,37000000,39900000,40000000,54500000,58300000,66100000,76900000,84000000
Spain,6350000,7510000,8650000,9960000,10200000,11000000,11800000,13300000,15400000,15700000,15100000,14600000,14600000,14500000,14300000,14900000,15400000,16600000,19000000,20300000,21700000,20900000,23400000,22300000,22400000,25800000,27800000,30300000,31600000,33600000,39700000,41500000,40400000,42500000,45500000,49900000,53100000,60700000,55200000,49300000,52800000,52700000,48100000,48100000,53100000,60600000,66700000,71900000
Sri Lanka,105000,116000,116000,109000,108000,117000,128000,181000,100000,105000,235000,405000,573000,617000,681000,699000,611000,587000,694000,745000,892000,893000,1050000,994000,1070000,1160000,1170000,1230000,1210000,1420000,1760000,1720000,1740000,1960000,2410000,2820000,3100000,3210000,2950000,2420000,3010000,3670000,4620000,4790000,4760000,4910000,5280000,5340000
Sudan,125000,140000,133000,222000,245000,250000,328000,379000,176000,424000,519000,465000,478000,473000,485000,428000,347000,417000,534000,363000,454000,363000,480000,408000,432000,497000,491000,333000,499000,390000,414000,415000,409000,420000,473000,511000,563000,598000,618000,607000,580000,947000,777000,542000,502000,496000,293000,329000
Suriname,,,,,,,50000,53000,120000,146000,144000,144000,107000,106000,117000,108000,89200,110000,135000,133000,133000,150000,123000,96000,149000,162000,195000,279000,278000,308000,233000,203000,191000,258000,289000,315000,307000,325000,330000,303000,215000,204000,241000,255000,269000,260000,280000,285000
Sweden,2550000,2910000,3010000,3230000,3350000,3460000,3910000,3850000,4360000,5190000,5210000,5630000,6090000,6590000,7340000,7610000,8710000,9430000,10200000,10900000,11400000,9830000,9920000,9720000,10800000,9500000,9880000,11300000,11900000,12900000,13400000,13100000,12400000,11600000,11600000,,,,,,,,,,,,,
Switzerland,3400000,3930000,4050000,4510000,4580000,4690000,5080000,5440000,5690000,5890000,5930000,6220000,6250000,6270000,6250000,6510000,6710000,7210000,7480000,8230000,8600000,7970000,8260000,9150000,9340000,9860000,10500000,12500000,14300000,16200000,17300000,16900000,13300000,10100000,9290000,9660000,10600000,12300000,14400000,14700000,22100000,24900000,26400000,27500000,27900000,27000000,25900000,26700000
Syria,139000,145000,236000,185000,284000,371000,448000,411000,495000,433000,465000,516000,466000,487000,464000,476000,459000,391000,342000,456000,613000,661000,552000,485000,472000,563000,599000,694000,685000,668000,750000,761000,927000,908000,1170000,1240000,1250000,1370000,1360000,1340000,1160000,1430000,908000,476000,476000,17900,18100,17600
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,783000,783000,822000,594000,594000,592000,156000,168000,,497000,443000,598000,479000,394000,501000,683000,765000,617000,847000,650000,683000,1060000,1030000,1040000,796000
Tanzania,171000,188000,197000,257000,283000,272000,310000,85700,192000,292000,388000,325000,402000,407000,499000,451000,441000,456000,410000,267000,292000,290000,216000,189000,199000,236000,224000,218000,220000,190000,193000,175000,134000,150000,243000,257000,190000,251000,203000,684000,750000,915000,1030000,1170000,1120000,1310000,1180000,1120000
Thailand,764000,713000,786000,1020000,1260000,1620000,1630000,1330000,1770000,2090000,2460000,2830000,3150000,3360000,3670000,4070000,4370000,5180000,6240000,7360000,8200000,7710000,8550000,10200000,11400000,12800000,14100000,14200000,15000000,16000000,17400000,17700000,18100000,16600000,20300000,18900000,20100000,21200000,20000000,19600000,28800000,31900000,36400000,43000000,46500000,56400000,62300000,71200000
Togo,29900,31400,27700,30000,33800,37900,43600,48900,55700,60800,64600,67600,69800,71000,71700,77500,78400,70100,69700,74000,76300,66300,66300,68200,69200,74100,75100,85500,90500,83900,77300,46400,,,,,,,,,663000,832000,746000,841000,426000,421000,475000,501000
Tonga,,,,,,,,,,,,,,,7800,8000,30200,37300,33200,33900,34600,34600,35300,35300,53300,53300,56000,49000,48800,50300,51600,56800,58500,60800,75400,,,,,,,,,,,,,
Trinidad and Tobago,361000,362000,320000,325000,336000,595000,684000,591000,428000,659000,877000,1300000,1380000,1340000,1400000,1300000,1340000,1310000,1300000,1310000,1290000,1350000,1350000,1390000,1640000,1730000,897000,808000,804000,1110000,1250000,1390000,1270000,1080000,1130000,1060000,1020000,1090000,1100000,1010000,1840000,2630000,2630000,2870000,2730000,2620000,2600000,2580000
Tunisia,245000,309000,375000,486000,630000,782000,809000,856000,963000,1090000,978000,1140000,1210000,1260000,1250000,1280000,1050000,1200000,1210000,1320000,1310000,1200000,1250000,1350000,1390000,1420000,1370000,1780000,1860000,1920000,1910000,1930000,1790000,1720000,1940000,2000000,2050000,2050000,2270000,2280000,2740000,3150000,3580000,4650000,4630000,3500000,3610000,4190000
Turkey,1040000,1480000,1770000,2220000,1800000,1780000,2430000,2750000,2220000,2460000,1250000,2070000,2090000,2230000,2580000,2510000,2720000,3260000,3500000,3790000,4340000,3160000,4960000,6080000,6870000,7750000,8460000,9380000,9950000,10100000,12200000,10600000,10700000,10700000,14300000,16900000,19400000,22900000,25500000,31300000,45700000,53500000,63400000,74400000,84600000,96600000,100000000,108000000
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,748000,748000,748000,523000,523000,521000,1050000,1280000,1410000,1410000,1410000,1610000,1650000,1840000,1850000,1820000,1710000,301000,160000,148000,1800000,580000,897000,1320000,1280000
Uganda,172000,188000,166000,52400,62700,57600,73800,,,,82600,62600,62200,75100,49500,35300,50000,46000,61000,116000,116000,26300,31600,77700,62500,94600,100000,100000,99800,179000,39400,40600,40600,39700,45700,49400,55300,59700,63200,64200,155000,142000,182000,199000,164000,41800,52200,54900
Ukraine,,,,,,,,,,,,,,,,,,,,,,,4910000,1280000,605000,1010000,1150000,1190000,1070000,910000,951000,986000,1120000,1650000,2200000,2510000,2800000,1740000,3460000,3430000,3960000,5480000,5830000,5220000,4500000,4620000,5760000,6820000
United Arab Emirates,,,,,128000,173000,240000,300000,375000,457000,522000,578000,570000,602000,674000,718000,935000,1090000,1330000,1480000,1690000,2040000,2510000,2940000,3370000,3550000,4060000,4720000,5260000,5840000,6890000,7680000,9670000,11600000,14300000,,,,,31800000,44900000,50300000,59900000,68200000,75600000,84300000,91800000,95300000
United Kingdom,15600000,15800000,17300000,19000000,18100000,18100000,19500000,19500000,23200000,25300000,25600000,24600000,23900000,23400000,25800000,28200000,29400000,33700000,37600000,46400000,47100000,42900000,47800000,50200000,55500000,59700000,64200000,62800000,61900000,65700000,70400000,70300000,72400000,76400000,86100000,93600000,97500000,102000000,105000000,102000000,102000000,112000000,115000000,119000000,125000000,132000000,144000000,152000000
United States,163000000,174000000,191000000,202000000,208000000,205000000,223000000,240000000,273000000,314000000,295000000,281000000,291000000,316000000,340000000,372000000,415000000,442000000,454000000,453000000,465000000,452000000,467000000,470000000,515000000,534000000,571000000,591000000,588000000,634000000,665000000,622000000,598000000,589000000,678000000,721000000,726000000,744000000,702000000,679000000,720000000,731000000,737000000,743000000,763000000,798000000,824000000,849000000
Uruguay,219000,221000,136000,138000,346000,334000,327000,293000,260000,456000,478000,413000,357000,310000,338000,329000,341000,351000,386000,313000,318000,318000,430000,503000,499000,477000,504000,544000,557000,593000,642000,559000,525000,464000,564000,586000,569000,603000,613000,564000,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,4030000,2220000,2220000,2220000,1570000,1570000,1560000,1660000,1740000,2260000,1450000,1470000,1590000,1640000,1670000,1940000,2030000,1850000,2110000,2280000,2590000,2610000,2550000,2490000,2380000,2580000
Vanuatu,,,,,,,,,,,,,16800,24600,16700,14400,15300,16600,18500,18500,18500,53000,59200,66700,70400,65600,72800,75000,88700,86000,102000,97500,104000,83200,104000,112000,117000,123000,121000,112000,248000,240000,319000,327000,320000,272000,299000,339000
Venezuela,1250000,1300000,1510000,1770000,1980000,2360000,2710000,3500000,4040000,4770000,5130000,5150000,5670000,5000000,4570000,4970000,5790000,6450000,8380000,10100000,6850000,6800000,7150000,6810000,5270000,4450000,4490000,4020000,3740000,4690000,4300000,9450000,6370000,3890000,4940000,5040000,5230000,5500000,5770000,5120000,6430000,7730000,7740000,6870000,7890000,7090000,6030000,4160000
Vietnam,1530000,1050000,854000,665000,553000,165000,,,,,6000,27000,27000,11500,74000,84000,88000,87000,87800,88200,89000,198000,204000,1200000,1670000,2290000,2110000,2530000,2300000,2600000,2880000,3430000,4040000,3970000,5050000,5450000,5280000,7190000,9990000,11100000,14400000,16500000,17000000,20400000,23800000,29900000,37300000,42600000
Yemen,25900,54500,57000,61500,66500,70000,263000,275000,295000,295000,310000,310000,352000,466000,456000,426000,590000,576000,636000,668000,671000,541000,800000,848000,791000,375000,588000,707000,765000,731000,842000,841000,869000,844000,1020000,1080000,1160000,1070000,1060000,1050000,1540000,1490000,1300000,1660000,1670000,444000,243000,133000
Zambia,188000,214000,230000,231000,241000,233000,257000,299000,317000,296000,257000,278000,253000,237000,246000,254000,238000,258000,304000,365000,407000,293000,246000,219000,235000,,,49600,48800,77700,89600,48500,47100,51000,49900,53900,58700,61600,62500,,261000,306000,127000,10000,8590,204000,144000,155000
Zimbabwe,267000,291000,315000,340000,,,,,,,412000,535000,449000,449000,441000,453000,452000,460000,525000,583000,601000,740000,678000,595000,675000,626000,654000,790000,789000,651000,608000,308000,251000,201000,225000,243000,239000,255000,264000,261000,259000,279000,321000,352000,301000,370000,379000,283000
